ID,State,County,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year
6, California,Sonoma County,483456,39.8,63565,32898,54966,11.36939039,2012
4, California,Lassen County,34628,37.4,51921,19924,3724,10.75430288,2012
3, California,Contra Costa County,1052047,38.5,78187,38106,106304,10.10449153,2012
28, California,Yolo County,200873,30.5,57260,28137,36007,17.92525626,2012
1, California,Mariposa County,18193,49.4,52584,27670,2647,14.54955203,2012
7, California,Tehama County,63200,39.6,40307,20259,12646,20.00949367,2012
37, California,Tehama County,63241,39.9,41924,20439,12271,19.40355149,2013
29, California,Amador County,37422,49.1,53684,27347,4150,11.08973331,2013
36, California,Sonoma County,487469,40.2,63356,32835,57048,11.70289803,2013
43, California,Sierra County,3127,51.3,39009,24996,599,19.15574033,2013
47, California,Napa County,137837,39.8,70443,34795,13563,9.83988334,2013
41, California,El Dorado County,180982,44.1,69297,34884,16206,8.954481661,2013
45, California,Imperial County,175201,31.8,41807,16763,38286,21.852615,2013
44, California,Santa Barbara County,427288,33.5,62779,30352,65740,15.3854075,2013
48, California,San Francisco County,817501,38.5,75604,48486,108306,13.24842416,2013
42, California,Monterey County,420569,33,59168,24775,68185,16.21255965,2013
26, California,Calaveras County,45147,50,55295,29329,4849,10.74047002,2013
46, California,Alameda County,1535248,36.8,72112,35763,188501,12.27821173,2013
33, California,Contra Costa County,1065794,38.6,78756,38219,111173,10.43100261,2013
52, California,Orange County,3051771,36.4,75422,34057,373049,12.22401681,2013
35, California,Stanislaus County,518321,33,49297,21663,104173,20.09816311,2013
49, California,Colusa County,21366,33.9,52158,21579,2635,12.33267809,2013
34, California,Lassen County,34018,37.3,53107,19931,3953,11.62031865,2013
56, California,Modoc County,9468,46.9,36212,21200,1917,20.24714829,2013
53, California,Sutter County,94787,34.8,50408,23602,15596,16.45373311,2013
57, California,Inyo County,18482,45.7,44796,27441,2309,12.49323666,2013
27, California,San Mateo County,729543,39.3,88202,45732,54905,7.525944324,2013
28, California,Tuolumne County,54728,48,48426,25943,7411,13.5415144,2013
30, California,Merced County,258707,30,42591,18177,64490,24.92781409,2013
31, California,Mariposa County,18061,50.1,49820,26988,2876,15.92381374,2013
32, California,Yuba County,72574,31.9,44902,19244,15392,21.20869733,2013
40, California,Sacramento County,1435207,35.1,55064,26739,248304,17.30091896,2013
50, California,Kings County,151806,31.1,48133,18429,28019,18.45710973,2013
38, California,Mono County,14217,37.2,61757,28046,1197,8.419497784,2013
51, California,Fresno County,939605,30.9,45563,20208,239584,25.49837432,2013
39, California,San Benito County,56115,34.5,66237,25914,6639,11.83106121,2013
14, California,Marin County,254643,44.8,90839,56791,19121,7.508943894,2013
