,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,State,county,County,Poverty Rate,Year,Unemployment Count
52,"Kern County, California",48021.0,829254.0,30.6,20167.0,169635.0,06,029,Kern County,20.456337865117323,2011,44613.0
53,"Ventura County, California",76728.0,815745.0,36.2,32740.0,79964.0,06,111,Ventura County,9.802573108017825,2011,34914.0
54,"Calaveras County, California",55256.0,45794.0,49.0,28667.0,3751.0,06,009,Calaveras County,8.191029392496834,2011,1857.0
55,"San Mateo County, California",87633.0,711622.0,39.2,45346.0,48891.0,06,081,San Mateo County,6.870360950054945,2011,28750.0
56,"Tuolumne County, California",47359.0,55736.0,47.2,26084.0,6850.0,06,109,Tuolumne County,12.29008181426726,2011,3086.0
57,"Amador County, California",56180.0,38244.0,48.0,28030.0,3372.0,06,005,Amador County,8.817069344210857,2011,2381.0
0,"Merced County, California",43565.0,256398.0,29.7,18343.0,61914.0,06,047,Merced County,24.147614255961436,2012,18179.0
1,"Mariposa County, California",52584.0,18193.0,49.4,27670.0,2647.0,06,043,Mariposa County,14.549552025504315,2012,1279.0
2,"Yuba County, California",46641.0,72244.0,31.9,20016.0,14541.0,06,115,Yuba County,20.127623055201816,2012,5553.0
3,"Contra Costa County, California",78187.0,1052047.0,38.5,38106.0,106304.0,06,013,Contra Costa County,10.104491529370836,2012,54436.0
4,"Lassen County, California",51921.0,34628.0,37.4,19924.0,3724.0,06,035,Lassen County,10.754302876285088,2012,1299.0
5,"Stanislaus County, California",49866.0,515115.0,32.8,21785.0,97847.0,06,099,Stanislaus County,18.99517583452239,2012,37836.0
6,"Sonoma County, California",63565.0,483456.0,39.8,32898.0,54966.0,06,097,Sonoma County,11.369390389197775,2012,24660.0
7,"Tehama County, California",40307.0,63200.0,39.6,20259.0,12646.0,06,103,Tehama County,20.009493670886076,2012,4055.0
8,"Mono County, California",61868.0,14181.0,37.1,27135.0,1333.0,06,051,Mono County,9.399901276355687,2012,940.0
9,"San Benito County, California",63939.0,55467.0,34.1,25791.0,7000.0,06,069,San Benito County,12.62011646564624,2012,3707.0
10,"Sacramento County, California",55846.0,1422348.0,34.9,26856.0,230523.0,06,067,Sacramento County,16.20721511191354,2012,92296.0
11,"El Dorado County, California",70117.0,180441.0,43.5,34571.0,14439.0,06,017,El Dorado County,8.00206161570818,2012,10131.0
12,"Monterey County, California",60143.0,416199.0,32.9,24995.0,64123.0,06,053,Monterey County,15.4068126064695,2012,21905.0
13,"Sierra County, California",42500.0,3163.0,51.6,24121.0,527.0,06,091,Sierra County,16.6613974075245,2012,126.0
14,"Butte County, California",43339.0,220101.0,37.3,23556.0,44156.0,06,007,Butte County,20.061698947301466,2012,14647.0
15,"Plumas County, California",45358.0,19926.0,49.4,28329.0,2720.0,06,063,Plumas County,13.650506875439124,2012,1605.0
16,"San Luis Obispo County, California",59628.0,270121.0,39.3,30218.0,34755.0,06,079,San Luis Obispo County,12.86645614372818,2012,11642.0
17,"Kern County, California",47727.0,839153.0,30.7,20216.0,180779.0,06,029,Kern County,21.543032081158024,2012,47548.0
18,"Ventura County, California",76483.0,822794.0,36.4,32826.0,83936.0,06,111,Ventura County,10.201338366589937,2012,39640.0
19,"Calaveras County, California",54686.0,45507.0,49.5,28892.0,4643.0,06,009,Calaveras County,10.202825938866548,2012,2403.0
20,"San Mateo County, California",87751.0,721183.0,39.3,45458.0,52888.0,06,081,San Mateo County,7.333506197456124,2012,30935.0
21,"Tuolumne County, California",48169.0,55205.0,48.0,26043.0,6718.0,06,109,Tuolumne County,12.16918757358935,2012,3856.0
22,"Amador County, California",53462.0,37764.0,48.4,26969.0,3502.0,06,005,Amador County,9.273382056985488,2012,2615.0
23,"Orange County, California",75566.0,3021840.0,36.2,34233.0,349220.0,06,059,Orange County,11.556535091202711,2012,143451.0
24,"Sutter County, California",50510.0,94615.0,34.5,22816.0,15868.0,06,101,Sutter County,16.77112508587433,2012,6564.0
25,"San Joaquin County, California",53895.0,687036.0,32.6,22696.0,117938.0,06,077,San Joaquin County,17.166203808825156,2012,50234.0
26,"San Diego County, California",63373.0,3100500.0,34.7,30683.0,418555.0,06,073,San Diego County,13.49959683921948,2012,147839.0
27,"Tulare County, California",43803.0,441877.0,29.7,18021.0,108096.0,06,107,Tulare County,24.462916150874566,2012,27688.0
28,"Yolo County, California",57260.0,200873.0,30.5,28137.0,36007.0,06,113,Yolo County,17.925256256440637,2012,10200.0
29,"Humboldt County, California",40830.0,134317.0,37.5,23884.0,25729.0,06,023,Humboldt County,19.15543080920509,2012,6868.0
30,"Nevada County, California",57382.0,98521.0,48.0,31899.0,11320.0,06,057,Nevada County,11.489936155743445,2012,4981.0
31,"Alpine County, California",59931.0,1197.0,43.2,27135.0,159.0,06,003,Alpine County,13.283208020050125,2012,62.0
32,"Madera County, California",47937.0,150615.0,33.2,18474.0,29900.0,06,039,Madera County,19.851940377784416,2012,6837.0
33,"Mendocino County, California",43721.0,87577.0,41.7,23179.0,16689.0,06,045,Mendocino County,19.056373248684014,2012,4909.0
34,"Santa Cruz County, California",66571.0,262340.0,36.9,32846.0,36553.0,06,087,Santa Cruz County,13.933445147518487,2012,12305.0
35,"Trinity County, California",36569.0,13693.0,49.2,23014.0,2377.0,06,105,Trinity County,17.359234645439276,2012,892.0
36,"Los Angeles County, California",56241.0,9840024.0,34.8,27900.0,1658231.0,06,037,Los Angeles County,16.851899954715556,2012,544607.0
37,"Riverside County, California",57096.0,2192982.0,33.7,23863.0,335557.0,06,065,Riverside County,15.301402382691695,2012,143984.0
38,"San Bernardino County, California",54750.0,2041029.0,31.7,21636.0,350982.0,06,071,San Bernardino County,17.196325970870575,2012,131841.0
39,"Santa Clara County, California",90747.0,1788393.0,36.2,41041.0,171669.0,06,085,Santa Clara County,9.599064635122145,2012,88035.0
40,"Marin County, California",90962.0,252759.0,44.6,55695.0,18371.0,06,041,Marin County,7.268188274205864,2012,9363.0
41,"Placer County, California",73356.0,350074.0,40.2,34917.0,29082.0,06,061,Placer County,8.307386438295904,2012,16127.0
42,"Siskiyou County, California",37948.0,44673.0,47.0,22304.0,8610.0,06,093,Siskiyou County,19.27338660936136,2012,2848.0
