,Unnamed: 0,Year,County,None,D0,D1,D2,D3,D4,Unnamed: 0.1,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Location ID,Month,Temp (F),Rank,Anomaly (1901-2000 base period),1901-2000 Mean
94,152,2011,San Dieg,99.43,0.5699999999999998,0.0,0.0,0.0,0.0,28.0,3060849.0,34.6,63857.0,30955.0,387565.0,12.66200978878736,CA-073,12,92.4,116,5.5,89.2
95,153,2011,San Francisc,100.0,0.0,0.0,0.0,0.0,0.0,21.0,797983.0,38.4,72947.0,46777.0,96801.0,12.130709551456606,CA-075,12,72.1,114,3.3,71.0
96,154,2011,San Joaqui,100.0,0.0,0.0,0.0,0.0,0.0,27.0,680277.0,32.5,53764.0,22857.0,110748.0,16.279838947957963,CA-077,12,91.6,121,4.7,92.5
97,155,2011,San Luis Obisp,100.0,0.0,0.0,0.0,0.0,0.0,51.0,267871.0,39.1,58630.0,30204.0,33330.0,12.442556305087152,CA-079,12,87.1,116,4.2,87.3
98,156,2011,San Mate,100.0,0.0,0.0,0.0,0.0,0.0,55.0,711622.0,39.2,87633.0,45346.0,48891.0,6.870360950054945,CA-081,12,75.1,114,3.2,73.6
99,157,2011,Santa Barbara,100.0,0.0,0.0,0.0,0.0,0.0,17.0,419793.0,33.4,61896.0,30330.0,57170.0,13.61861679446775,CA-083,12,81.8,117,5.3,81.0
100,158,2011,Santa Clara,100.0,0.0,0.0,0.0,0.0,0.0,41.0,1762754.0,36.0,89064.0,40698.0,160396.0,9.099170956355794,CA-085,12,83.3,116,3.8,82.9
101,159,2011,Santa Cruz,100.0,0.0,0.0,0.0,0.0,0.0,36.0,259402.0,36.7,66030.0,32975.0,34382.0,13.254331115411599,CA-087,12,76.4,117,4.3,76.5
102,160,2011,Shasta,93.6626923076923,6.337307692307691,0.0,0.0,0.0,0.0,45.0,177231.0,41.6,44058.0,23691.0,30023.0,16.940038706546822,CA-089,12,89.6,122,7.0,89.1
103,161,2011,Sierra,94.67557692307692,5.324423076923077,0.0,0.0,0.0,0.0,13.0,3277.0,51.5,50308.0,26137.0,540.0,16.47848642050656,CA-091,12,80.3,117,5.3,80.2
104,162,2011,Siski,92.4948076923077,7.505192307692307,0.0,0.0,0.0,0.0,44.0,44687.0,46.9,37865.0,22335.0,8085.0,18.092510125987424,CA-093,12,83.1,122,6.5,81.5
105,163,2011,Sola,100.0,0.0,0.0,0.0,0.0,0.0,46.0,411620.0,36.7,69914.0,29367.0,42525.0,10.331130654487149,CA-095,12,88.9,119,4.5,88.8
106,164,2011,Sonoma,96.49153846153843,3.5084615384615385,0.0,0.0,0.0,0.0,6.0,478551.0,39.7,64343.0,33119.0,50592.0,10.571913965282695,CA-097,12,82.3,121,5.1,79.8
107,165,2011,Stanislaus,100.0,0.0,0.0,0.0,0.0,0.0,5.0,512469.0,32.6,50671.0,21820.0,91291.0,17.813955575849462,CA-099,12,91.5,124,4.9,92.8
108,166,2011,Sutter,100.0,0.0,0.0,0.0,0.0,0.0,26.0,94192.0,34.4,50010.0,22464.0,14125.0,14.995965687107187,CA-101,12,93.4,117,4.4,95.9
109,167,2011,Tehama,93.72307692307692,6.276923076923077,0.0,0.0,0.0,0.0,7.0,62985.0,39.4,38753.0,20689.0,12796.0,20.31594824164484,CA-103,12,90.8,122,6.4,91.8
110,168,2011,Trini,93.48846153846155,6.511538461538462,0.0,0.0,0.0,0.0,37.0,13711.0,49.3,37672.0,22551.0,2366.0,17.256217635475167,CA-105,12,86.6,123,6.5,85.9
111,169,2011,Tulare,100.0,0.0,0.0,0.0,0.0,0.0,29.0,436234.0,29.5,43550.0,17986.0,102165.0,23.41977012337416,CA-107,12,86.5,120,4.4,86.8
112,170,2011,Tuolumne,99.31288461538462,0.6871153846153846,0.0,0.0,0.0,0.0,56.0,55736.0,47.2,47359.0,26084.0,6850.0,12.290081814267259,CA-109,12,81.0,105,3.0,82.0
113,171,2011,Ventura,100.0,0.0,0.0,0.0,0.0,0.0,53.0,815745.0,36.2,76728.0,32740.0,79964.0,9.802573108017823,CA-111,12,85.8,114,5.3,83.3
114,172,2011,Yol,98.5076923076923,1.492307692307692,0.0,0.0,0.0,0.0,30.0,198889.0,30.1,57920.0,28631.0,35674.0,17.936638024224568,CA-113,12,92.5,119,5.0,94.7
115,173,2011,Yuba,97.47,2.53,0.0,0.0,0.0,0.0,2.0,71817.0,31.7,46617.0,20046.0,14222.0,19.803110684099863,CA-115,12,91.9,121,5.2,92.8
116,174,2012,Alameda,4.886037735849057,95.11396226415094,88.25207547169813,8.77811320754717,0.0,0.0,52.0,1515136.0,36.6,71516.0,35434.0,178897.0,11.807322906986569,CA-001,12,84.6,124,5.4,82.3
117,175,2012,Alpine,2.210943396226415,97.78905660377356,71.06698113207548,19.67773584905661,0.0,0.0,31.0,1197.0,43.2,59931.0,27135.0,159.0,13.283208020050125,CA-003,12,77.3,123,6.9,75.0
118,176,2012,Amador,15.655094339622641,84.34490566037734,49.00490566037736,6.595471698113209,0.0,0.0,22.0,37764.0,48.4,53462.0,26969.0,3502.0,9.273382056985488,CA-005,12,93.4,126,6.3,90.4
119,177,2012,Butte,20.235471698113216,79.7645283018868,48.500377358490574,4.7279245283018865,0.0,0.0,14.0,220101.0,37.3,43339.0,23556.0,44156.0,20.061698947301466,CA-007,12,94.4,122,6.4,92.3
120,178,2012,Calaveras,8.18735849056604,91.81264150943399,62.63320754716982,6.582830188679246,0.0,0.0,19.0,45507.0,49.5,54686.0,28892.0,4643.0,10.202825938866548,CA-009,12,94.3,126,6.4,91.2
121,179,2012,Colusa,5.939056603773585,94.0609433962264,84.84999999999998,9.656981132075472,0.0,0.0,55.0,21329.0,33.9,52165.0,21601.0,3206.0,15.031178208073516,CA-011,12,97.0,123,6.7,95.4
122,180,2012,Contra Costa,5.145660377358492,94.8543396226415,77.06754716981135,7.153962264150944,0.0,0.0,3.0,1052047.0,38.5,78187.0,38106.0,106304.0,10.104491529370836,CA-013,12,88.0,124,5.5,85.1
123,181,2012,Del Norte,91.07962264150946,8.920377358490569,0.0,0.0,0.0,0.0,45.0,28496.0,38.8,39626.0,20197.0,5380.0,18.879842784952274,CA-015,12,82.2,125,6.4,77.8
124,182,2012,El Dorad,25.86320754716981,74.13679245283015,33.27943396226415,6.852075471698114,0.0,0.0,11.0,180441.0,43.5,70117.0,34571.0,14439.0,8.002061615708179,CA-017,12,89.0,123,6.6,85.8
125,183,2012,Fres,0.3735849056603774,99.6264150943396,95.02415094339622,15.05490566037736,0.0,0.0,57.0,930517.0,30.7,45741.0,20391.0,226967.0,24.391494190863792,CA-019,12,90.8,126,6.8,88.2
126,184,2012,Gle,5.834150943396226,94.16584905660378,86.17075471698115,9.181320754716984,0.0,0.0,46.0,28078.0,36.5,42641.0,21689.0,5383.0,19.17159341833464,CA-021,12,95.5,123,7.1,93.7
127,185,2012,Humbold,78.40339622641511,21.596603773584906,0.6045283018867924,0.0,0.0,0.0,29.0,134317.0,37.5,40830.0,23884.0,25729.0,19.15543080920509,CA-023,12,84.9,127,6.9,79.2
128,186,2012,Imperial,5.326981132075472,94.67301886792451,75.3098113207547,0.0,0.0,0.0,51.0,173487.0,31.8,41255.0,16667.0,37544.0,21.640814585530904,CA-025,12,106.3,123,6.2,105.9
129,187,2012,I,2.3518867924528304,97.64811320754718,85.77132075471704,60.782075471698114,0.0,0.0,49.0,18474.0,45.7,45000.0,27323.0,2035.0,11.015481216845298,CA-027,12,97.2,121,6.1,95.6
130,188,2012,Ker,8.03811320754717,91.96188679245284,68.25698113207551,15.462075471698116,0.0,0.0,17.0,839153.0,30.7,47727.0,20216.0,180779.0,21.543032081158024,CA-029,12,98.2,126,7.5,95.1
