,YEAR,COUNTY,EVENT_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM
61610,2019,Mono,Heavy Snow,0,0,0
61611,2019,Yuba,Heavy Snow,0,0,0
61612,2019,Sierra,Heavy Snow,0,0,0
61614,2019,Los Angeles,Flood,0,0,0
61617,2019,San Bernardino,Flood,0,0,0
61620,2019,Modoc,Flood,0,0,0
61622,2019,Los Angeles,Tornado,0,0,0
61623,2019,Los Angeles,Tornado,0,0,0
61624,2019,Siskiyou,Thunderstorm Wind,0,0,0
61625,2019,Siskiyou,Thunderstorm Wind,0,0,0
61626,2019,Modoc,Flood,0,0,0
61627,2019,Santa Cruz,High Wind,0,0,0
61628,2019,Sierra,Heavy Snow,0,0,0
61629,2019,Sierra,Heavy Snow,0,0,0
61631,2019,Los Angeles,Debris Flow,0,0,0
61636,2019,San Diego,Dense Fog,0,0,0
61637,2019,San Bernardino,Dense Fog,0,0,0
61638,2019,San Diego,Dense Fog,0,0,0
61639,2019,San Bernardino,Dense Fog,0,0,0
61640,2019,San Diego,Dense Fog,0,0,0
61641,2019,Los Angeles,Heavy Rain,0,0,0
61642,2019,San Bernardino,Dense Fog,0,0,0
61650,2019,San Bernardino,Dense Fog,0,0,0
61651,2019,Monterey,Rip Current,1,0,0
